Time Series,ALB,ARG,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHL,CHN,COL,CRI,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HKG,HRV,HUN ,IDN,IND,IRL,ILS,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MAR,MDG,MEX,MKD,MLT,NLD,NOR,NZL,POL,PRT,ROU,RUS,SAU,SGP,SRB,SVK,SVN,SWE,TUR,USA,ZAF,ZMB
1999,137.6906,0.9995,1.54995,0.938283,0.938283,1.836383,1.813933,1.485705,1.502155,508.7767,8.27825,1756.231,285.6847,0.927681,34.56925,0.938283,6.97624,0.938283,0.938069,0.938283,0.938283,0.618057,0.896982,7.7575,7.111743,237.1458,7855.15,43.05543,0.938283,72.33529,4.139717,0.938283,113.9068,1189.439,1.15848,0.938283,0.832617,9.804419,1256.755,9.560398,56.90183,0.929183,0.938283,7.799172,1.889614,3.967108,0.938283,1.533284,24.6199,3.75,1.694957,11.6615,1.372995,0.758509,8.262428,0.418783,1,6.109484,2.388019
2000,143.7094,0.9995,1.724827,1.082705,1.082705,2.123275,1.829423,1.485394,1.688843,539.5875,8.278504,2087.904,308.1867,1.063449,38.59842,1.082705,8.083144,1.082705,1.084494,1.082705,1.082705,0.660931,1.072336,7.791167,8.277666,282.1792,8421.775,44.94161,1.082705,78.61595,4.077333,1.082705,107.7655,1130.363,1.15848,1.082705,0.862972,10.62564,1353.496,9.455558,65.90387,1.020615,1.082705,8.801842,2.201149,4.346075,1.082705,2.170872,28.12917,3.75,1.723963,63.1659,1.528088,0.929127,9.162244,0.625219,1,6.939828,3.110844
2001,143.4848,0.9995,1.933443,1.116533,1.116533,2.184708,2.349632,1.54884,1.687615,634.9383,8.277068,2299.633,328.8708,1.098814,38.03533,1.116533,8.322817,1.116533,1.117052,1.116533,1.116533,0.694655,1.116533,7.79875,8.341541,286.49,10260.85,47.18641,1.116533,97.4246,4.20565,1.116533,121.5289,1290.79,1.15848,1.116533,0.893445,11.30298,1317.699,9.342342,68.03713,1.048315,1.116533,8.991654,2.378751,4.0939,1.116533,2.906079,29.16853,3.75,1.791723,66.91366,1.605086,1.012973,10.32914,1.225588,1,8.609181,3.610935
2002,140.1545,3.063257,1.840563,1.057559,1.057559,2.076975,2.920363,1.570343,1.558607,688.9367,8.276958,2504.241,359.8175,1.043375,32.73852,1.057559,7.894714,1.057559,1.061687,1.057559,1.057559,0.667223,1.057559,7.798917,7.871683,257.8867,9311.192,48.61032,1.057559,91.66167,4.737825,1.057559,125.388,1251.603,1.064921,1.057559,0.879607,11.02058,1366.391,9.655958,64.34979,1.010064,1.057559,7.983779,2.162191,4.080033,1.057559,3.305543,31.34848,3.75,1.790588,64.40523,1.504572,1.002538,9.737123,1.507226,1,10.54075,4.398595
2003,121.8633,2.900629,1.541914,0.884048,0.884048,1.732702,3.077475,1.401015,1.346651,691.3975,8.277037,2877.652,398.6622,0.884104,28.209,0.884048,6.587673,0.884048,0.885586,0.884048,0.884048,0.612472,0.884048,7.78675,6.704969,224.3067,8577.133,46.58328,0.884048,76.70898,4.554133,0.884048,115.9335,1191.646,0.886488,0.884048,0.813136,9.574383,1238.328,10.78902,54.32226,0.878717,0.884048,7.080217,1.722099,3.889075,0.884048,3.320007,30.69203,3.75,1.742183,57.59004,1.220637,0.86427,8.086304,1.500885,1,7.564749,4.733271
2004,102.7801,2.923301,1.359752,0.803922,0.803922,1.575109,2.925119,1.301282,1.243496,609.5292,8.276801,2628.613,437.935,0.800652,25.69975,0.803922,5.991057,0.803922,0.805003,0.803922,0.803922,0.54618,0.803922,7.788,6.034341,202.7458,8938.85,45.31647,0.803922,70.19167,4.481983,0.803922,108.1926,1146.249,0.805315,0.803922,0.768683,8.868017,1868.858,11.28597,49.40993,0.802849,0.803922,6.740833,1.508681,3.657642,0.803922,3.263657,28.81374,3.75,1.690228,58.37571,1.070733,0.802792,7.348887,1.425537,1,6.459693,4.778875
2005,99.87025,2.903658,1.309473,0.8038,0.8038,1.574133,2.43439,1.211405,1.245177,559.7675,8.194317,2320.834,477.7867,0.792912,23.95742,0.8038,5.99691,0.8038,0.804251,0.8038,0.8038,0.549998,0.8038,7.777333,5.949237,199.5825,9704.742,44.09998,0.8038,62.98167,4.4877,0.8038,110.2182,1024.328,0.803413,0.8038,0.803519,8.865008,2003.026,10.89789,49.28368,0.805445,0.8038,6.4425,1.420273,3.235483,0.8038,2.913653,28.28444,3.75,1.664398,66.71783,1.029617,0.804146,7.473088,1.343583,1,6.359328,4.465
2006,98.10338,3.054313,1.327973,0.796433,0.796433,1.559267,2.175327,1.134345,1.253843,530.275,7.973438,2361.139,511.3018,0.784104,22.59558,0.796433,5.946778,0.796433,0.79669,0.796433,0.796433,0.543487,0.796433,7.767833,5.837793,210.39,9159.317,45.30701,0.796433,70.18,4.455808,0.796433,116.2993,955.3408,0.797099,0.796433,0.797389,8.795583,2142.302,10.89924,48.80177,0.794069,0.796433,6.413333,1.542056,3.103158,0.796433,2.808983,27.19096,3.75,1.588933,67.15513,0.985768,0.797147,7.378249,1.428453,1,6.771549,3.601667
2007,90.42789,3.095649,1.195073,0.729672,0.729672,1.42905,1.947058,1.074046,1.200366,522.4642,7.607532,2078.292,516.6174,0.728078,20.29367,0.729672,5.443701,0.729672,0.730756,0.729672,0.729672,0.499772,0.729672,7.801417,5.364536,183.6258,9141,41.34853,0.729672,64.055,4.108083,0.729672,117.7535,929.3758,0.730921,0.729672,0.73106,8.192333,1873.877,10.92819,44.72982,0.726007,0.729672,5.861667,1.360675,2.76795,0.729672,2.43825,25.58085,3.75,1.507102,58.44957,0.819702,0.729672,6.75877,1.302931,1,7.045365,4.001667
2008,83.8946,3.144165,1.192178,0.679923,0.679923,1.337117,1.833767,1.067087,1.08309,522.461,6.948655,1967.711,526.2355,0.679923,17.07167,0.679923,5.098131,0.679923,0.683499,0.679923,0.679923,0.543966,0.679923,7.786833,4.93504,172.1133,9698.963,43.50518,0.679923,87.94792,3.588021,0.679923,103.3595,1100.126,0.682656,0.679923,0.68414,7.750325,1708.371,11.12972,41.86768,0.679923,0.679923,5.64,1.422727,2.409242,0.679923,2.518858,24.85288,3.75,1.414861,55.72925,0.709069,0.679923,6.591099,1.301522,1,8.261223,3.745
